company,h1b_sponsor,source,notes
Google,yes,seed,Historical H-1B sponsor
Microsoft,yes,seed,Historical H-1B sponsor
Amazon,yes,seed,Historical H-1B sponsor
Meta,yes,seed,Historical H-1B sponsor
Apple,yes,seed,Historical H-1B sponsor
NVIDIA,yes,seed,Historical H-1B sponsor
IBM,yes,seed,Historical H-1B sponsor
Intel,yes,seed,Historical H-1B sponsor
Oracle,yes,seed,Historical H-1B sponsor
Salesforce,yes,seed,Historical H-1B sponsor
Adobe,yes,seed,Historical H-1B sponsor
Tesla,yes,seed,Historical H-1B sponsor
Uber,yes,seed,Historical H-1B sponsor
Lyft,yes,seed,Historical H-1B sponsor
Airbnb,yes,seed,Historical H-1B sponsor
Netflix,yes,seed,Historical H-1B sponsor
LinkedIn,yes,seed,Historical H-1B sponsor
Databricks,yes,seed,Historical H-1B sponsor
Snowflake,yes,seed,Historical H-1B sponsor
Palantir,yes,seed,Historical H-1B sponsor
Capital One,yes,seed,Historical H-1B sponsor
JPMorgan Chase,yes,seed,Historical H-1B sponsor
Goldman Sachs,yes,seed,Historical H-1B sponsor
Walmart,yes,seed,Historical H-1B sponsor
Wayfair,yes,seed,Historical H-1B sponsor
ServiceNow,yes,seed,Historical H-1B sponsor
Workday,yes,seed,Historical H-1B sponsor
Stripe,yes,seed,Historical H-1B sponsor
PayPal,yes,seed,Historical H-1B sponsor
Bloomberg,yes,seed,Historical H-1B sponsor
